datetime,year,kmeans,knn,lof,iforest,ensemble,date
2008-08-03,2008,1.0,1.0,2.626114056786205e-11,1.0,0.7500000000065653,2008-08-03
2008-11-12,2008,0.7838878704909518,0.8702795697417477,2.022299011371943e-11,0.9648784153742802,0.6547614639068007,2008-11-12
2011-08-12,2011,0.7472710512449213,0.8350199221711972,1.5380062660051468e-11,0.9201492476189815,0.62561005526262,2011-08-12
2011-06-12,2011,0.6893900352544916,0.7482926572150751,1.9246525626103922e-11,0.9371747428655725,0.5937143588385965,2011-06-12
2011-05-05,2011,0.7996026558546023,0.7129237569545167,1.909552849618139e-11,0.849966371952691,0.5906231961952264,2011-05-05
2011-12-02,2011,0.7806566107512428,0.6773606885337768,1.958073928271651e-11,0.8507914490526858,0.5772021870893216,2011-12-02
2008-04-10,2008,0.6471423399735682,0.6864348287793685,1.747855571580184e-11,0.9437935023649713,0.5693426677838466,2008-04-10
2008-03-01,2008,0.7334943047468306,0.6675202081292018,2.3120395613760203e-11,0.8129933111607339,0.5535019560149717,2008-03-01
2011-07-12,2011,0.6251781563755286,0.6515605879657638,1.429047158601895e-11,0.911831426956907,0.5471425428281225,2011-07-12
2008-12-12,2008,0.5779262310249744,0.6540988360879498,1.863192350137246e-11,0.8780727108325814,0.5275244444910344,2008-12-12
2011-11-11,2011,0.5543834796462589,0.6203400220373408,1.7512472614415408e-11,0.8438909409463462,0.5046536106618646,2011-11-11
2008-01-10,2008,0.4613595823621682,0.5729336343461012,1.2277656009095624e-11,0.8822070864570409,0.479125075794397,2008-01-10
2011-01-11,2011,0.6465784165329322,0.4658847422836171,1.5879116446995173e-11,0.7625554172187162,0.4687546440127861,2011-01-11
2011-12-12,2011,0.5590310859994876,0.5064749795370901,1.3813063625029254e-11,0.8072612451530476,0.4681918276758596,2011-12-12
2011-02-11,2011,0.38285302506700697,0.5809670254598682,1.0743594149999611e-11,0.8988289053309932,0.46566223896715303,2011-02-11
2008-10-10,2008,0.4968707932447499,0.47986952320277454,1.3854541568151342e-11,0.8651432733374529,0.460470897449708,2008-10-10
2008-04-01,2008,0.34798748423889675,0.5658685728637082,1.223232650208512e-11,0.9193638223001644,0.4583049698537504,2008-04-01
2008-05-01,2008,0.5578051599411005,0.4018221024925326,1.4083651147782166e-11,0.8234465371828443,0.44576844990764025,2008-05-01
2011-09-12,2011,0.22609019731859337,0.1482524595771123,1.0,0.35034272467236505,0.43117134539201774,2011-09-12
2011-05-10,2011,0.4356102765284149,0.4640376579318256,1.3782370589700553e-11,0.8244396364676102,0.43102189273540825,2011-05-10
2008-11-03,2008,0.47560105410670034,0.407464475660043,1.1476679824430314e-11,0.803783555140782,0.4217122712297505,2008-11-03
2011-03-11,2011,0.3617606747483252,0.23693152558188077,0.7479957957571146,0.33428971567769916,0.42024442794125494,2011-03-11
2011-11-12,2011,0.3285621932655283,0.43367267548745303,1.1524894038044743e-11,0.8637575844427756,0.4064981133018205,2011-11-12
2011-10-12,2011,0.5521005134552934,0.40602091682714125,1.978159275546581e-11,0.6564956100019581,0.4036542600760436,2011-10-12
2011-04-12,2011,0.20706789529260736,0.1359830607997757,0.863478329126712,0.37097860640321295,0.394376972905577,2011-04-12
2008-05-04,2008,0.4804909104415246,0.3448755294107389,1.0188960013336454e-11,0.7512355719851066,0.3941505029618898,2008-05-04
2011-10-11,2011,0.5034180863031195,0.36391494939724073,1.620020720923499e-11,0.6874177507368767,0.3886876966133592,2011-10-11
2011-01-12,2011,0.44054544100770676,0.334334232585278,1.3462851085704929e-11,0.7081044576460318,0.3707460328131199,2011-01-12
2008-01-01,2008,0.16093943269883795,0.10612148678811323,0.8735626945590612,0.33300942389232224,0.36840825948458367,2008-01-01
2008-11-10,2008,0.4218760759819274,0.32176757554735497,9.444098800778764e-12,0.7185084818692814,0.36553803335200197,2008-11-10
